wl,n
0.0020,1.001
0.0545,0.856
0.0900,1.209
0.1000,1.448
0.1012,1.446
0.1087,1.508
0.1162,1.472
0.1200,1.486
0.1337,1.704
0.4000,1.300
0.5831,1.292
0.5983,1.292
0.6215,1.291
0.6696,1.290
0.6856,1.290
0.7057,1.290
0.7174,1.290
0.7299,1.290
0.7849,1.289
0.7994,1.289
0.8418,1.289
0.8673,1.288
0.8885,1.288
0.9742,1.288
0.9872,1.288
1.000,1.288
1.014,1.288
1.235,1.287
1.241,1.287
1.932,1.285
1.953,1.285
3.29,1.243
3.33,1.278
3.37,1.311
3.43,1.301
3.57,1.303
7.59,1.195
7.69,1.275
7.80,1.365
8.13,1.326
8.26,1.332
41.67,1.291
71.43,1.292
